title,position_group,company,salary_line_extracted,salary_min_rub,salary_max_rub
Ветеринарный врач терапевт,Ветеринарный врач,Ветеринарный центр Ковчег,"120 000 – 160 000 ₽ за месяц, на руки",120000.0,160000.0
Ветеринарный врач терапевт,Ветеринарный врач,Ветеринарный центр Ковчег,"до 150 000 ₽ за месяц, на руки",,150000.0
Ветеринарный врач ОРИиТ,Ветеринарный врач,Ветеринарная клиника CatVetDog,"120 000 – 250 000 ₽ за месяц, на руки",120000.0,250000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ВЕТЕРИНАРНАЯ КЛИНИКА ВОДОЛЕЙ.,"56 000 – 70 000 ₽ за месяц, на руки",56000.0,70000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Сеть ветклиник Василёк,"70 000 – 90 000 ₽ за месяц, на руки",70000.0,90000.0
Ветеринарный врач,Ветеринарный врач,ООО Ветеринарная клиника Пульс,"120 000 – 150 000 ₽ за месяц, на руки",120000.0,150000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ООО Ветмиссия,"30 000 – 150 000 ₽ за месяц, на руки",30000.0,150000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Ветеринарный банк крови Вельвет,"60 000 – 75 000 ₽ за месяц, на руки",60000.0,75000.0
Ветеринарный врач-анестезиолог,Ветеринарный врач,"Благотворительный Фонд Помощи Бездомным Животным и Животным, Пострадавшим От Жестокого Обращения Кусочек Счастья Для Бездомной Кошки","от 200 000 ₽ за месяц, на руки",200000.0,
Ветеринарный врач — терапевт,Ветеринарный врач,"Благотворительный Фонд Помощи Бездомным Животным и Животным, Пострадавшим От Жестокого Обращения Кусочек Счастья Для Бездомной Кошки","от 180 000 ₽ за месяц, на руки",180000.0,
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Европейский ветеринарный центр EVC,"до 60 000 ₽ за месяц, на руки",,60000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Ветеринарные клиники Возрождение,"40 000 – 60 000 ₽ за месяц, на руки",40000.0,60000.0
Ветеринарный врач стационара | ОРИТ | Ветеринарная клиника «СИНИЦА»,Ветеринарный врач,ИП Шакин Анатолий Викторович,"150 000 – 180 000 ₽ за месяц, на руки",150000.0,180000.0
Ветеринарный врач-стоматолог,Ветеринарный врач,ООО Вет Сити Центр,"от 100 000 ₽ за месяц, на руки",100000.0,
Ветеринарный врач-терапевт,Ветеринарный врач,ООО Биоконтроль,"100 000 – 145 000 ₽ за месяц, на руки",100000.0,145000.0
Ветеринарный врач,Ветеринарный врач,"Зоовет, Ветеринарный Центр","120 000 ₽ за месяц, до вычета налогов",120000.0,120000.0
Ассистент ветеринарного врача-хирурга,Ассистент ветеринарного врача,ООО Ветеринарный центр КОМОНДОР,"от 94 500 ₽ за месяц, на руки",94500.0,
Ветеринарный Врач в клинику,Ветеринарный врач,Сеть ветеринарных клиник БиоВет,"150 000 – 300 000 ₽ за месяц, на руки",150000.0,300000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Ветеринарная клиника Ади-Вед,"55 000 – 70 000 ₽ за месяц, на руки",55000.0,70000.0
Ветеринарный врач ОРИТ,Ветеринарный врач,ООО Гуд Вет,"от 150 000 ₽ за месяц, на руки",150000.0,
Ветеринарный врач/фельдшер/старший ассистент выездной скорой помощи,Ассистент ветеринарного врача,Клинико-диагностический ветеринарный центр POLIVET,"100 000 – 130 000 ₽ за месяц, на руки",100000.0,130000.0
"Ассистент ветеринарного врача (терапия | хирургия | стационар, СИНИЦА)",Ассистент ветеринарного врача,ИП Шакин Анатолий Викторович,"75 000 – 100 000 ₽ за месяц, на руки",75000.0,100000.0
Ветеринарный врач,Ветеринарный врач,ИП Шуманова Екатерина Сергеевна,"от 120 000 ₽ за месяц, на руки",120000.0,
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ООО Свой Доктор,"28 000 – 50 000 ₽ за месяц, до вычета налогов",28000.0,50000.0
Ассистент ветеринарного врача - стоматолога,Ассистент ветеринарного врача,ООО Вет Сити Центр,"от 45 000 ₽ за месяц, на руки",45000.0,
Ночной ветеринарный врач - анестезиолог,Ветеринарный врач,ООО Вет Сити Центр,"от 100 000 ₽ за месяц, на руки",100000.0,
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ООО Центр ветеринарной медицины,"60 000 – 75 000 ₽ за месяц, на руки",60000.0,75000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ООО Аверс,"40 000 – 60 000 ₽ за месяц, на руки",40000.0,60000.0
Ночной Ветеринарный врач (Дежурный врач),Ветеринарный врач,ООО Любимый носик,"70 000 – 100 000 ₽ за месяц, на руки",70000.0,100000.0
Ветеринарный врач терапевт,Ветеринарный врач,Травма-Вет,"90 000 – 150 000 ₽ за месяц, до вычета налогов",90000.0,150000.0
Ветеринарный врач ОРИТ / интенсивной терапии,Ветеринарный врач,Ветеринарный банк крови Вельвет,"100 000 – 150 000 ₽ за месяц, на руки",100000.0,150000.0
Администратор (Ветеринарная клиника Синица),Администратор pet-сервиса,ИП Шакин Анатолий Викторович,"90 000 – 110 000 ₽ за месяц, на руки",90000.0,110000.0
Администратор в ветеринарную клинику (м. Коломенская),Администратор pet-сервиса,ООО Бм-Мед,"70 000 – 85 000 ₽ за месяц, на руки",70000.0,85000.0
"Ассистент ветеринарного врача в ветеринарную клинику ""СОВА""",Ассистент ветеринарного врача,Майкова Галина Александровна,"от 60 000 ₽ за месяц, на руки",60000.0,
Администратор ветеринарной клиники,Администратор pet-сервиса,Ветеринарные клиники HappyПёс,"65 000 – 85 000 ₽ за месяц, на руки",65000.0,85000.0
